date,price
01/08/2003,272
01/09/2003,280
01/10/2003,427
01/11/2003,433
01/12/2003,384
01/01/2004,744
01/02/2004,801
01/03/2004,560
01/04/2004,479
01/05/2004,321
01/06/2004,268
01/07/2004,280
01/08/2004,259
01/09/2004,259
01/10/2004,271
01/11/2004,395
01/12/2004,476
01/01/2005,446
01/02/2005,712
01/03/2005,443
01/04/2005,422
01/05/2005,284
01/06/2005,248
01/07/2005,235
01/08/2005,222
01/09/2005,220
01/10/2005,279
01/11/2005,417
01/12/2005,501
01/01/2006,590
01/02/2006,915
01/03/2006,511
01/04/2006,541
01/05/2006,277
01/06/2006,279
01/07/2006,234
01/08/2006,236
01/09/2006,235
01/10/2006,297
01/11/2006,402
01/12/2006,497
01/01/2007,546
01/02/2007,675
01/03/2007,674
01/04/2007,501
01/05/2007,429
01/06/2007,287
01/07/2007,234
01/08/2007,214
01/09/2007,230
01/10/2007,267
01/11/2007,364
01/12/2007,434
01/01/2008,456
01/02/2008,696
01/03/2008,540
01/04/2008,648
01/05/2008,282
01/06/2008,254
01/07/2008,232
01/08/2008,226
01/09/2008,224
01/10/2008,256
01/11/2008,382
01/12/2008,526
01/01/2009,648
01/02/2009,593
01/03/2009,911
01/04/2009,881
01/05/2009,641
01/06/2009,441
01/07/2009,350
01/08/2009,296
01/09/2009,296
01/10/2009,301
01/11/2009,339
01/12/2009,602
01/01/2010,640
01/02/2010,673
01/03/2010,643
01/04/2010,555
01/05/2010,389
01/06/2010,279
01/07/2010,259
01/08/2010,233
01/09/2010,249
01/10/2010,267
01/11/2010,288
01/12/2010,326
01/01/2011,401
01/02/2011,628
01/03/2011,599
01/04/2011,870
01/05/2011,428
01/06/2011,273
01/07/2011,221
01/08/2011,222
01/09/2011,233
01/10/2011,261
01/11/2011,442
01/12/2011,537
01/01/2012,910
01/02/2012,1092
01/03/2012,868
01/04/2012,581
01/05/2012,533
01/06/2012,355
01/07/2012,287
01/08/2012,261
01/09/2012,257
01/10/2012,367
01/11/2012,483
01/12/2012,479
01/01/2013,706
01/02/2013,732
01/03/2013,894
01/04/2013,508
01/05/2013,392
01/06/2013,392
01/07/2013,276
01/08/2013,268
01/09/2013,256
01/10/2013,311
01/11/2013,430
01/12/2013,553
01/01/2014,635
01/06/2014,635
01/07/2014,290
01/08/2014,294
01/09/2014,302
01/10/2014,298
01/11/2014,435
01/12/2014,598
01/01/2015,598
01/02/2015,598
01/03/2015,598
01/04/2015,598
01/05/2015,598
01/06/2015,598
01/07/2015,274
01/08/2015,234
01/09/2015,223
01/10/2015,218
01/11/2015,273
01/12/2015,305
01/01/2016,450
01/02/2016,646
